Rank,Artist,Monthly listeners(millions),Date
1,The Weeknd,111.67,1-2-2024
2,Taylor Swift,109.90,1-2-2024
3,Ariana Grande,97.93,1-2-2024
4,Justin Bieber,94.15,1-2-2024
5,Mariah Carey,86.85,1-2-2024
6,Ed Sheeran,85.20,1-2-2024
7,Drake,83.11,1-2-2024
8,Sia,80.57,1-2-2024
9,Rihanna,79.87,1-2-2024
10,Coldplay,77.84,1-2-2024
11,Bad Bunny,77.06,1-2-2024
12,Eminem,73.17,1-2-2024
13,David Guetta,71.65,1-2-2024
14,Dua Lipa,70.49,1-2-2024
15,Marshmello,68.38,1-2-2024
16,Elton John,67.87,1-2-2024
17,Wham!,67.06,1-2-2024
18,Miley Cyrus,66.60,1-2-2024
19,Doja Cat,66.57,1-2-2024
20,Michael Bublé,66.54,1-2-2024
21,Bruno Mars,65.85,1-2-2024
22,SZA,65.07,1-2-2024
23,Kanye West,64.24,1-2-2024
24,Billie Eilish,63.89,1-2-2024
25,Sam Smith,62.97,1-2-2024
26,Katy Perry,61.75,1-2-2024
27,Calvin Harris,61.40,1-2-2024
28,Travis Scott,61.08,1-2-2024
29,Nicki Minaj,60.86,1-2-2024
30,Shakira,60.38,1-2-2024
31,Brenda Lee,60.11,1-2-2024
32,Olivia Rodrigo,60.03,1-2-2024
33,Queen,59.81,1-2-2024
34,Post Malone,59.09,1-2-2024
35,Maroon 5,58.84,1-2-2024
36,Lana Del Rey,57.20,1-2-2024
37,Imagine Dragons,56.99,1-2-2024
38,Lady Gaga,56.31,1-2-2024
39,Frank Sinatra,56.19,1-2-2024
40,Kelly Clarkson,55.64,1-2-2024
41,21 Savage,55.37,1-2-2024
42,Tate McRae,55.20,1-2-2024
43,Adele,54.90,1-2-2024
44,Jack Harlow,54.68,1-2-2024
45,Harry Styles,54.41,1-2-2024
46,Peso Pluma,54.22,1-2-2024
47,Dean Martin,53.43,1-2-2024
48,Karol G,52.81,1-2-2024
49,Beyoncé,52.40,1-2-2024
50,Future (rapper),51.98,1-2-2024
